titles	prices	rates
Apple iPhone 12 64GB 128GB 256GB Second	Rp8.690.000	5.0
iPhone SE 2 (2020) Garansi Resmi IBox	Rp7.499.000	5.0
Original 100% Apple iPhone XR 64GB 128GB New Inter FU Garansi 1 Tahun - Red, 1SIM 64GB	Rp5.749.000	4.9
IPHONE XR 64/128 GB SECOND	Rp4.100.000	5.0
Apple iPhone 13 PRO 128/256/512 GB 1 TB ROM 128 256 512GB 1TB TAM	Rp11.497.000	0
Iphone 11 128GB Garansi Resmi TAM / Ibox	Rp9.949.000	5.0
IPhone 12 Garansi Resmi Ibox	Rp12.249.000	5.0
iPhone 8 64GB/256GB Second ORi 100%	Rp3.025.000	5.0
Apple iPhone Xr 128GB New Fullset Original Garansi Toko 1 Tahun	Rp6.099.000	4.9
Iphone XR Garansi Resmi Ibox	Rp8.499.000	5.0
Apple iPhone SE 2 2020 64GB 128GB 256GB / 64 128 256 Black White Red	Rp5.830.000	4.9
iPhone 11 | Pro | Pro Max 64gb 128gb 256gb 512gb Bekas Fullset Second	Rp6.245.000	4.9
iPhone SE 2 (2020) Garansi Resmi IBox	Rp7.499.000	5.0
(IBOX) iPhone 11 64GB 128GB 256GB Garansi Resmi TAM 1 Tahun 64 128 256	Rp9.899.000	5.0
iphone 11 64gb 128gb second fullset mulus terawat	Rp6.346.000	4.9
IPHONE 7 256GB 128GB 32GB BLACK ROSEGOLD GOLD SILVER - IBOX	Rp1.899.000	4.8
iPhone 11 64GB 128Gb 256Gb Bekas Fullset Second Mulus	Rp6.999.999	5.0
Original 100% Apple iPhone 8 64GB 128GB 256GB New Inter Garansi 1Tahun	Rp3.350.000	4.9
Iphone 6s 64Gb rosegold ex Inter	Rp1.950.000	0
Resmi iPhone 12 128GB Second Original Fullset Mulus	Rp9.499.000	5.0
iphone xs 64gb second mulus ex internasional fullset	Rp4.500.000	4.9
Apple iphone xs 256 GB mulus fullset	Rp5.125.000	4.9
iPhone 11 Pro 64GB SECOND	Rp7.085.000	4.9
iPhone 11 Pro SECOND	Rp7.250.000	5.0
IPHONE 7 PLUS SECOND	Rp2.800.000	4.9
APPLE IPHONE 11 64GB GRS RESMI IBOX INDONESIA	Rp9.999.000	5.0
Apple iPhone 6 128GB 64GB 32GB 16GB Grey Silver Rose Gold BerGaransi	Rp1.425.000	4.8
Apple iPhone X 64GB Second mulus ex internasional,fullset	Rp3.830.000	4.9
IPHONE 11 64GB 128GB SECOND LIKE NEW BERGARANSI MULUS	Rp6.020.000	5.0
Iphone X 64gb second ex internasional fullset garansi 1 bulan	Rp3.845.000	4.9
Iphone 11 Pro 64gb Bekas	Rp7.500.000	4.9
SECOND - iPhone 11 Pro 256GB Mulus Original 100% Fullset	Rp8.100.000	5.0
Apple iPhone 13 Mini 128GB 256GB 512GB 128 256 512 GB Garansi 1 Tahun	Rp12.600.000	4.8
(SECOND) Apple iPhone 12 Dual Nano Sim 64GB 128GB 256GB Original 100%	Rp9.250.000	4.5
iPhone XS 64gb Space Gray / Grey Silver /Gold full set mulus	Rp4.502.000	4.7
APPLE IPHONE 11 128GB GRS RESMI IBOX INDONESIA	Rp10.599.000	5.0
IPHONE 11 INTERNAL 64 GB/128 GB/256 GB FULLSET - SECOND LIKE NEW	Rp6.050.000	4.8
IPhone 12 Mini Garansi Resmi Ibox	Rp10.499.000	5.0
Apple Iphone XR 64 GB mulus unit original	Rp4.262.000	4.9
Iphone 11 Pro 64GB MULUS ORIGINAL	Rp6.999.000	4.9
Iphone 11 64GB second ori 100%/fullset Like new /mulus 99~100%	Rp6.280.000	4.9
iphone 11 pro 64gb 256gb second fullset mulus no minus	Rp7.546.000	4.9
iPhone 11 | Pro | Pro Max 512gb 256gb 128gb 64gb Bekas Fullset Second	Rp6.245.000	5.0
iPhone 11 64GB	Rp9.999.000	5.0
iphone 11 64gb 128gb 256gb Second Fulset EX inter Kondisi Mulus	Rp6.200.000	5.0
Apple iPhone XR 64GB / 128GB / 256GB - Garansi 1 tahun	Rp4.799.000	4.9
